Name,description,LON,LAT
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494871.00000000000000000000,-3777576.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494870.00000000000000000000,-3777588.99999999953433871269
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494872.00000000000000000000,-3777599.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494873.99999999813735485077,-3777606.99999999953433871269
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494883.99999999813735485077,-3777617.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494900.99999999813735485077,-3777635.99999999953433871269
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494934.00000000000000000000,-3777671.99999999953433871269
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494940.00000000000000000000,-3777673.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494956.00000000000000000000,-3777675.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494963.99999999813735485077,-3777682.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14494971.00000000186264514923,-3777687.00000000046566128731
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495017.00000000186264514923,-3777741.00000000046566128731
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495050.00000000000000000000,-3777780.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495058.00000000000000000000,-3777790.00000000046566128731
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495070.99999999813735485077,-3777803.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495085.00000000000000000000,-3777819.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495102.00000000000000000000,-3777841.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495107.99999999813735485077,-3777849.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495112.00000000000000000000,-3777858.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495121.00000000000000000000,-3777876.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495125.99999999813735485077,-3777886.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495131.00000000000000000000,-3777897.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495137.00000000000000000000,-3777915.99999999953433871269
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495141.00000000186264514923,-3777933.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495146.00000000000000000000,-3777951.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495150.00000000186264514923,-3777980.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495151.00000000186264514923,-3777995.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495151.00000000186264514923,-3778013.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495151.00000000186264514923,-3778040.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495148.00000000000000000000,-3778056.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495142.00000000186264514923,-3778069.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495138.00000000000000000000,-3778076.00000000000000000000
"Directions from 400 Brunswick Rd, Brunswick West VIC 3055, Australia to Capital City Trail, Parkville VIC 3052, Australia",,14495131.00000000000000000000,-3778084.00000000000000000000
